wavelength,1,2,3,4,5,6,7,8,9,10
558.626,129,96,63,55,41,32,25,22,13,9
559.098,130,96,65,59,45,35,24,22,15,12
559.569,126,90,63,57,43,35,27,25,15,10
560.04,124,88,62,60,40,29,27,17,16,10
560.511,122,89,61,56,42,31,22,24,16,11
560.982,122,86,59,52,40,28,24,22,11,10
561.453,120,83,62,52,42,32,21,18,19,10
561.925,123,87,58,53,40,34,26,21,12,11
562.396,117,86,57,50,42,28,23,17,11,10
562.867,121,87,60,52,42,28,22,19,13,11
563.339,117,79,57,45,35,29,23,14,10,8
563.81,115,80,54,48,43,29,19,19,12,10
564.282,118,78,57,49,40,27,17,16,15,10
564.753,113,81,54,47,39,28,21,23,15,9
565.225,112,78,56,47,43,29,19,16,14,11
565.697,107,75,52,45,33,25,21,14,9,8
566.168,107,75,47,42,32,26,18,15,14,8
566.64,100,72,49,43,29,23,17,11,10,5
567.112,106,72,48,43,30,29,19,13,13,6
567.583,105,73,51,46,36,29,21,16,11,13
568.055,98,66,43,35,23,19,13,15,6,1
568.527,106,73,52,43,34,28,19,20,14,8
568.999,103,72,55,43,33,29,23,17,13,8
569.471,94,71,48,45,30,25,21,17,9,10
569.943,97,64,42,37,27,20,11,7,8,-3
570.415,102,68,48,36,33,21,13,13,9,4
570.887,101,68,49,40,33,20,16,13,11,6
571.359,105,73,48,42,35,28,24,13,11,11
571.831,98,68,45,40,26,21,18,14,6,7
572.303,107,72,50,44,37,23,21,18,15,10
572.775,99,67,45,39,31,23,14,13,10,5
573.247,101,66,48,37,29,20,15,12,1,3
573.72,103,68,48,40,31,23,20,12,9,10
574.192,106,70,47,41,34,22,22,18,12,5
574.664,102,70,47,43,29,20,19,14,13,6
575.137,102,70,54,38,32,23,15,14,11,4
575.609,100,64,49,41,30,22,18,10,10,11
576.082,100,70,47,42,32,25,19,15,12,10
576.554,98,66,45,40,30,23,25,16,10,8
577.027,100,68,48,38,29,22,19,13,14,9
577.499,97,63,47,42,33,21,18,15,9,10
577.972,94,62,41,29,22,20,10,3,5,3
578.444,94,68,42,39,25,21,19,12,11,8
